Episode,Noise_Scale,Reward_MarketMaker,Reward_Conservative,Reward_Aggressive
1,1.0000,-95099.28,62638.77,15286.43
2,0.9988,-16490.99,374.41,-11558.00
3,0.9975,-15683.12,10970.00,-18540.50
4,0.9962,-4883.29,15650.36,-38395.88
5,0.9950,-8139.42,-19000.97,2484.00
6,0.9938,-62143.43,42650.26,-4944.15
7,0.9925,-23736.45,8206.38,-9102.81
8,0.9912,-20659.27,-2768.15,-3331.58
9,0.9900,-17518.71,-10676.52,3239.05
10,0.9888,-38558.70,-11136.45,26536.09
11,0.9875,40069.20,-52978.75,-10388.50
12,0.9862,-28297.25,-27322.86,28203.73
13,0.9850,-47134.81,-17972.43,49092.10
14,0.9838,-47191.02,17831.54,7760.35
15,0.9825,3094.39,-9060.73,-20332.35
16,0.9812,-26638.85,-6616.61,12558.03
17,0.9800,11117.49,-17489.47,-19004.55
18,0.9788,13907.18,-16557.26,-22306.99
19,0.9775,-51610.73,2927.46,27565.98
20,0.9762,-43821.14,20995.99,-2506.41
21,0.9750,-42411.38,-40194.25,53184.28
22,0.9738,-28819.49,2539.87,9500.92
23,0.9725,-24870.26,-15047.31,13351.41
24,0.9712,-4721.43,-30477.71,7516.07
25,0.9700,-18988.79,-73271.34,74124.91
26,0.9688,-2953.08,-8473.91,-11545.05
27,0.9675,-20997.57,-20238.24,21934.25
28,0.9663,-6136.64,-67093.73,48301.61
29,0.9650,-22332.97,-4958.17,5176.41
30,0.9637,-8665.77,12969.13,-25846.21
31,0.9625,-9709.60,-38516.79,28325.98
32,0.9613,-11377.75,-34303.22,23314.97
33,0.9600,-25871.91,-42948.16,47325.05
34,0.9587,-6256.50,-7676.44,-5881.21
35,0.9575,-41419.04,5699.21,9958.87
36,0.9563,7917.83,-30112.18,-1532.93
37,0.9550,-25925.77,7081.65,-6006.08
38,0.9537,-45278.68,-3408.39,23663.01
39,0.9525,-55522.04,-17549.73,57141.82
40,0.9513,-14434.30,34943.36,-47939.33
41,0.9500,-21166.54,-45184.27,42683.49
42,0.9487,17296.12,827.34,-44066.04
43,0.9475,-28044.02,9419.78,-9876.52
44,0.9463,16337.91,-721.46,-45031.76
45,0.9450,3955.31,-25961.37,-1115.86
46,0.9437,-50184.58,-5901.24,26120.15
47,0.9425,-43438.56,4126.50,18526.11
48,0.9413,-27978.41,-22216.42,20546.45
49,0.9400,-45039.01,-10562.29,30944.50
50,0.9387,-32811.43,-12689.02,25737.74
51,0.9375,-16354.70,-20280.51,8909.56
52,0.9363,-46194.97,-29876.82,53629.15
53,0.9350,-21181.18,-12323.42,4163.89
54,0.9337,5821.76,-52557.59,21722.60
55,0.9325,-16119.48,-8414.90,-2918.42
56,0.9313,-18653.64,-31459.33,24002.36
57,0.9300,2471.99,-17513.76,-7154.60
58,0.9287,-57680.63,-4325.95,41449.98
59,0.9275,-11793.74,-4116.11,-9602.59
60,0.9263,-27285.28,-5479.99,12452.75
61,0.9250,15616.58,-12277.00,-21509.74
62,0.9237,-16859.25,-634.41,-692.57
63,0.9225,-24330.25,835.52,3607.80
