step,avg_reward,loss,epsilon
41,26.66666666666668,0.0,1.0
71,23.000000000000007,0.0,1.0
166,36.2222222222222,0.0,1.0
181,29.499999999999982,0.0,1.0
209,27.19999999999998,0.0,1.0
286,31.11111111111109,0.44556039571762085,0.8560822709551227
317,29.523809523809508,0.2945794463157654,0.7328768546436799
340,27.66666666666665,0.17307984828948975,0.653073201944699
353,25.481481481481467,0.1252121478319168,0.6118738784280476
370,23.999999999999986,0.06561756134033203,0.5618938591163328
386,22.727272727272716,0.03564292564988136,0.5185893309484582
425,22.944444444444432,0.021732181310653687,0.42650460709830135
454,22.615384615384606,0.016835253685712814,0.36880183088056995
768,35.904761904761834,0.2213713824748993,0.07642587550895225
1168,51.28888888888875,0.014566544443368912,0.049911691230058335
1184,48.708333333333194,0.020581834018230438,0.049911691230058335
1306,50.58823529411751,0.05537969246506691,0.049911691230058335
1403,51.3333333333332,0.040485989302396774,0.049911691230058335
1769,61.43859649122788,0.09635620564222336,0.049911691230058335
1944,64.16666666666649,0.049877654761075974,0.049911691230058335
2205,71.49999999999982,0.06691931933164597,0.049911691230058335
2240,71.66666666666649,0.07397565245628357,0.049911691230058335
2349,72.13333333333317,0.1141839399933815,0.049911691230058335
2421,74.03333333333316,0.15379561483860016,0.049911691230058335
2543,77.1666666666665,0.002363930456340313,0.049911691230058335
2632,77.56666666666649,0.07438521087169647,0.049911691230058335
2762,80.86666666666649,0.18775486946105957,0.049911691230058335
2832,82.43333333333315,0.10155972093343735,0.049911691230058335
2914,84.73333333333315,0.10776745527982712,0.049911691230058335
2959,85.66666666666649,0.10339588671922684,0.049911691230058335
2984,85.9666666666665,0.09859106689691544,0.049911691230058335
3001,85.23333333333316,0.1544613540172577,0.049911691230058335
3013,84.66666666666649,0.20852307975292206,0.049911691230058335
3049,75.39999999999986,0.1577581763267517,0.049911691230058335
3092,63.4666666666666,0.05798878148198128,0.049911691230058335
3485,76.03333333333319,0.06925202906131744,0.049911691230058335
3756,80.99999999999984,0.5462913513183594,0.049911691230058335
4156,91.13333333333313,0.08112966269254684,0.049911691230058335
4291,83.4333333333332,0.2134488821029663,0.049911691230058335
4318,78.49999999999983,0.41426730155944824,0.049911691230058335
4341,70.56666666666652,0.3740260601043701,0.049911691230058335
4408,71.63333333333318,0.29304102063179016,0.049911691230058335
4661,76.43333333333318,0.11234329640865326,0.049911691230058335
5061,87.39999999999979,0.4224501848220825,0.049911691230058335
